run,start_time,type,moviestim,jitters,frames,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,welcome_key.started,welcome_key.keys,welcome_key.rt,fix3.started,fix3.stopped,movie.started,text_15.started,key_resp_9.started,text_15.stopped,key_resp_9.stopped,key_resp_9.keys,key_resp_9.rt,fix4.started,fix4.stopped,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 31,response_type,response_value,unanswered,Unnamed: 30
2.0,10.0,scrambled,fps_60/150296.bmp_pp97_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,10.0,,0.0,0.0,0.0,0.0,,,,,41.88283569994383,52.244076000060886,52.244076000060886,55.35214610002004,55.35214610002004,58.35710099991411,58.35710099991411,['1'],[0.6668479000218213],,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,False Alarm,1,,
2.0,18.86,veridical,fps_60/713519.bmp_pp84_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.8599999999999994,,0.0,1.0,1.0,1.0,,,,,58.35710099991411,61.58106369990856,61.58106369990856,64.6896883000154,64.6896883000154,67.69131899997592,67.69131899997592,['1'],[0.9301497999113053],,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,Hit,1,,
2.0,27.91,scrambled,fps_60/1159819.bmp_pp63_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,3.0500000000000007,,0.0,2.0,2.0,2.0,,,,,67.69131899997592,71.10505910008214,71.10505910008214,74.2122357999906,74.2122357999906,77.2126134999562,77.2126134999562,['1'],[2.1773125999607146],,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,False Alarm,1,,
2.0,37.06,veridical,fps_60/498396.bmp_pp152_L2_V1_veridical_freeview_isoFalse_fps60.mp4,3.150000000000002,,0.0,3.0,3.0,3.0,,,,,77.2126134999562,80.72416640003212,80.72416640003212,83.83084130007774,83.83084130007774,86.84059579996392,86.84059579996392,['1'],[0.448411000194028],,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,Hit,1,,
2.0,45.1,scrambled,fps_60/713707.bmp_pp63_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.039999999999999,,0.0,4.0,4.0,4.0,,,,,86.84059579996392,89.25427850009874,89.25427850009874,92.35889629996382,92.35889629996382,,,['2'],[1.6118503999896348],,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,Correct Reject,2,,
2.0,54.79,veridical,fps_60/150296.bmp_pp97_L3_V1_veridical_freeview_isoFalse_fps60.mp4,3.6899999999999977,,0.0,5.0,5.0,5.0,,,,,95.3711349000223,99.43097219988704,99.43097219988704,102.53974310006016,102.53974310006016,105.54809499997646,105.54809499997646,['1'],[0.6045561998616904],,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,Hit,1,,
2.0,70.63,veridical,fps_60/285992.bmp_pp98_L1_V1_veridical_freeview_isoFalse_fps60.mp4,9.839999999999996,,0.0,6.0,6.0,6.0,,,,,105.54809499997646,115.8316238000989,115.8316238000989,118.90051939990371,118.90051939990371,,,['1'],[0.6978887000586838],,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,Hit,1,,
2.0,80.7,scrambled,fps_60/1159508.bmp_pp151_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,4.070000000000007,,0.0,7.0,7.0,7.0,,,,,121.91424449998884,126.40043679997324,126.40043679997324,129.50686160009354,129.50686160009354,132.5170436000917,132.5170436000917,['2'],[1.4070951000321656],,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,Correct Reject,2,,
2.0,89.59,scrambled,fps_60/713519.bmp_pp84_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.890000000000001,,0.0,8.0,8.0,8.0,,,,,132.5170436000917,135.81601940002292,135.81601940002292,138.9023366998881,138.9023366998881,141.9099071000237,141.9099071000237,,,,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,,,,
2.0,98.25,veridical,fps_60/713707.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps60.mp4,2.6599999999999966,,0.0,9.0,9.0,9.0,,,,,141.9099071000237,144.93881419999525,144.93881419999525,148.04329079994932,148.04329079994932,151.04343710001558,151.04343710001558,['2'],[1.0035371999256313],,,subject_4c,2.0,2023-08-24_13h26.27.274,run_1,2023.1.2,60.00816103232573,,Miss,2,,
