run,start_time,type,moviestim,jitters,frames,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,welcome_key.started,welcome_key.keys,welcome_key.rt,fix3.started,fix3.stopped,movie.started,text_15.started,key_resp_9.started,text_15.stopped,key_resp_9.stopped,key_resp_9.keys,key_resp_9.rt,fix4.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,18.510446800035425,18.510446800035425,['equal'],[14.052850599982776],,,,,,,,,,,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
5,10.0,scrambled,fps_60/497926.bmp_pp65_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,10.0,None,0,0,0,0,,,,,32.57916029996704,42.986180900014006,42.986180900014006,46.06072429998312,46.06072429998312,49.07012849999592,49.07012849999592,['2'],[0.7956243000226095],,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
5,18.08,veridical,fps_60/1159775.bmp_pp86_L2_V1_veridical_freeview_isoFalse_fps60.mp4,2.0799999999999983,None,0,1,1,1,,,,,49.07012849999592,51.55629249999765,51.55629249999765,54.675751799950376,54.675751799950376,57.68482880003285,57.68482880003285,['1'],[0.9482240000506863],,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
5,28.72,veridical,fps_60/713089.bmp_pp91_L3_V1_veridical_freeview_isoFalse_fps60.mp4,4.640000000000001,None,0,2,2,2,,,,,57.68482880003285,62.77933559997473,62.77933559997473,65.86765729996841,65.86765729996841,68.87651850003749,68.87651850003749,['1'],[0.8154258000431582],,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
5,43.9,scrambled,fps_60/285933.bmp_pp89_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,9.18,None,0,3,3,3,,,,,68.87651850003749,78.49597579997499,78.49597579997499,81.58487609995063,81.58487609995063,84.59057620004751,84.59057620004751,['2'],[0.4703776000533253],,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
5,52.16,veridical,fps_60/286001.bmp_pp90_L2_V1_veridical_freeview_isoFalse_fps60.mp4,2.259999999999998,None,0,4,4,4,,,,,84.59057620004751,87.28247360000387,87.28247360000387,90.36688330001198,90.36688330001198,93.37617419997696,93.37617419997696,['1'],[0.7161811999976635],,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
5,61.44,scrambled,fps_60/1159956.bmp_pp73_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,3.280000000000001,None,0,5,5,5,,,,,93.37617419997696,97.07130099995993,97.07130099995993,100.17169970006216,100.17169970006216,103.17377029999625,103.17377029999625,['1'],[0.5177369000157341],,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
5,70.46,veridical,fps_60/498151.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps60.mp4,3.019999999999996,None,0,6,6,6,,,,,103.17377029999625,106.63737700006459,106.63737700006459,109.72720269998536,109.72720269998536,,,['1'],[0.7865357999689877],,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
5,79.02,veridical,fps_60/497926.bmp_pp65_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.5600000000000023,None,0,7,7,7,,,,,112.73898090003058,115.72794400004204,115.72794400004204,118.83978979999665,118.83978979999665,121.83919930004049,121.83919930004049,['1'],[0.7832156999502331],,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
5,87.02,scrambled,fps_60/1159606.bmp_pp151_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.0,None,0,8,8,8,,,,,121.83919930004049,124.26495430001523,124.26495430001523,127.34763740003109,127.34763740003109,130.3472481999779,130.3472481999779,['2'],[0.4530679000308737],,sub_1,5,2023-08-18_12h23.42.131,run_1,2023.1.2,59.980158566081265,
