run,start_time,type,moviestim,jitters,frames,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,welcome_key.started,welcome_key.keys,welcome_key.rt,fix3.started,fix3.stopped,movie.started,text_15.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_15.stopped,key_resp_9.stopped,fix4.started,fix4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,13.561923199798912,13.561923199798912,['equal'],[13.375163299962878],,,,,,,,,,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,10.0,scrambled,fps_60/497926.bmp_pp65_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,10.0,None,0,0,0,0,,,,,26.96078919991851,37.27238340000622,37.27238340000622,40.35749989980832,40.35749989980832,['2'],[1.2950993000995368],,,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,18.08,veridical,fps_60/1159775.bmp_pp86_L2_V1_veridical_freeview_isoFalse_fps60.mp4,2.0799999999999983,None,0,1,1,1,,,,,43.37054889998399,45.83130719978362,45.83130719978362,48.95476559991948,48.95476559991948,['1'],[2.816877500154078],51.9554938999936,51.9554938999936,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,28.72,veridical,fps_60/713089.bmp_pp91_L3_V1_veridical_freeview_isoFalse_fps60.mp4,4.640000000000001,None,0,2,2,2,,,,,51.9554938999936,57.00256389984861,57.00256389984861,60.10725999996066,60.10725999996066,['1'],[1.242957399925217],63.10966229997575,63.10966229997575,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,43.9,scrambled,fps_60/285933.bmp_pp89_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,9.18,None,0,3,3,3,,,,,63.10966229997575,72.70216679992154,72.70216679992154,75.8048806998413,75.8048806998413,None,,78.80941819981672,78.80941819981672,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,52.16,veridical,fps_60/286001.bmp_pp90_L2_V1_veridical_freeview_isoFalse_fps60.mp4,2.259999999999998,None,0,4,4,4,,,,,78.80941819981672,81.47896059998311,81.47896059998311,84.56792279984802,84.56792279984802,['1'],[1.402086399961263],,,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,61.44,scrambled,fps_60/1159956.bmp_pp73_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,3.280000000000001,None,0,5,5,5,,,,,87.58329609991051,91.21866829995997,91.21866829995997,94.32369509991258,94.32369509991258,['1'],[0.8152991000097245],,,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,70.46,veridical,fps_60/498151.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps60.mp4,3.019999999999996,None,0,6,6,6,,,,,97.33720179996453,100.70039529982023,100.70039529982023,103.80439389985986,103.80439389985986,['2'],[2.2674986999481916],106.80617729993537,106.80617729993537,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,79.02,veridical,fps_60/497926.bmp_pp65_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.5600000000000023,None,0,7,7,7,,,,,106.80617729993537,109.73480179999024,109.73480179999024,112.8409277999308,112.8409277999308,['2'],[2.576128900051117],115.85029999981634,115.85029999981634,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,87.02,scrambled,fps_60/1159606.bmp_pp151_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.0,None,0,8,8,8,,,,,115.85029999981634,118.24587579979561,118.24587579979561,121.34735769988038,121.34735769988038,['2'],[1.8362759000156075],124.3498390999157,124.3498390999157,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,96.61,scrambled,fps_60/713089.bmp_pp91_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,3.5900000000000034,None,0,9,9,9,,,,,124.3498390999157,128.32475549983792,128.32475549983792,131.45933099999093,131.45933099999093,['1'],[0.5492344000376761],134.4631055998616,134.4631055998616,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,106.23,veridical,fps_60/285933.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps60.mp4,3.620000000000005,None,0,10,10,10,,,,,134.4631055998616,138.50036179996096,138.50036179996096,141.6145543998573,141.6145543998573,['1'],[0.8860925000626594],144.61649419995956,144.61649419995956,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,114.99,veridical,fps_60/1591932.bmp_pp76_L1_V1_veridical_freeview_isoFalse_fps60.mp4,2.759999999999991,None,0,11,11,11,,,,,144.61649419995956,147.74237769981846,147.74237769981846,150.86603179993108,150.86603179993108,['2'],[1.084339200053364],153.86723400000483,153.86723400000483,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,123.58,scrambled,fps_60/286001.bmp_pp90_L2_V1_scrambled_freeview_isoFalse_fps60.mp4,2.5900000000000034,None,0,12,12,12,,,,,153.86723400000483,156.82814869983122,156.82814869983122,159.9352231998928,159.9352231998928,['1'],[2.611738100182265],,,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,133.47,veridical,fps_60/1159606.bmp_pp151_L1_V1_veridical_freeview_isoFalse_fps60.mp4,3.890000000000001,None,0,13,13,13,,,,,162.95066470000893,167.24887649994344,167.24887649994344,170.31079819984734,170.31079819984734,['2'],[2.265338599914685],173.31288179988042,173.31288179988042,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,141.64,veridical,fps_60/1159956.bmp_pp73_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.1699999999999875,None,0,14,14,14,,,,,173.31288179988042,175.85544159985147,175.85544159985147,178.9456187998876,178.9456187998876,None,,181.94766369997524,181.94766369997524,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,150.19,scrambled,fps_60/498151.bmp_pp60_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.550000000000012,None,0,15,15,15,,,,,181.94766369997524,184.8572411998175,184.8572411998175,187.9635502998717,187.9635502998717,['2'],[0.7370198999997228],190.96651679999195,190.96651679999195,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,158.69,scrambled,fps_60/1159775.bmp_pp86_L2_V1_scrambled_freeview_isoFalse_fps60.mp4,2.5,None,0,16,16,16,,,,,190.96651679999195,193.8587762999814,193.8587762999814,196.96133069996722,196.96133069996722,['2'],[2.37252079998143],199.96629029978067,199.96629029978067,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,168.37,veridical,fps_60/1592201.bmp_pp100_L3_V1_veridical_freeview_isoFalse_fps60.mp4,3.680000000000007,None,0,17,17,17,,,,,199.96629029978067,204.05069139995612,204.05069139995612,207.11970909987576,207.11970909987576,['1'],[1.8307167999446392],210.12164719984867,210.12164719984867,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
5,177.31,scrambled,fps_60/1591932.bmp_pp76_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.9399999999999977,None,0,18,18,18,,,,,210.12164719984867,213.42178629990667,213.42178629990667,216.54158419999294,216.54158419999294,['2'],[0.7090012999251485],219.54974829987623,219.54974829987623,,,subject_10,5,2023-08-31_17h32.39.076,run_1,2023.1.2,59.94319783981884,
