run,start_time,type,moviestim,jitters,frames,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,welcome_key.started,welcome_key.keys,welcome_key.rt,fix3.started,fix3.stopped,movie.started,text_15.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_15.stopped,key_resp_9.stopped,fix4.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,14.012663500000144,14.012663500000144,['equal'],[16.73863849999998],,,,,,,,,,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,10.0,scrambled,fps_60/497926.bmp_pp65_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,10.0,None,0,0,0,0,,,,,30.76986940000006,41.132267500000125,41.132267500000125,44.217383300000165,44.217383300000165,['1'],[0.6345489000000271],,,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,18.08,veridical,fps_60/1159775.bmp_pp86_L2_V1_veridical_freeview_isoFalse_fps60.mp4,2.0799999999999983,None,0,1,1,1,,,,,47.22932600000013,49.699553299999934,49.699553299999934,52.80514959999982,52.80514959999982,['1'],[0.4555433999998968],,,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,28.72,veridical,fps_60/713089.bmp_pp91_L3_V1_veridical_freeview_isoFalse_fps60.mp4,4.640000000000001,None,0,2,2,2,,,,,55.81971419999991,60.87045089999992,60.87045089999992,63.990757699999904,63.990757699999904,['1'],[0.5821786999999858],,,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,43.9,scrambled,fps_60/285933.bmp_pp89_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,9.18,None,0,3,3,3,,,,,67.00384269999995,76.6109348,76.6109348,79.7134246999999,79.7134246999999,['1'],[0.541916300000139],,,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,52.16,veridical,fps_60/286001.bmp_pp90_L2_V1_veridical_freeview_isoFalse_fps60.mp4,2.259999999999998,None,0,4,4,4,,,,,82.72834909999983,85.32668180000019,85.32668180000019,88.43404450000025,88.43404450000025,['1'],[0.4807060000002821],91.43696880000016,91.43696880000016,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,61.44,scrambled,fps_60/1159956.bmp_pp73_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,3.280000000000001,None,0,5,5,5,,,,,91.43696880000016,95.10354899999993,95.10354899999993,98.20767569999998,98.20767569999998,['1'],[0.40097330000025977],,,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,70.46,veridical,fps_60/498151.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps60.mp4,3.019999999999996,None,0,6,6,6,,,,,101.22072759999992,104.59849059999988,104.59849059999988,107.70216849999997,107.70216849999997,['1'],[0.7002252000002045],110.70485300000018,110.70485300000018,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,79.02,veridical,fps_60/497926.bmp_pp65_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.5600000000000023,None,0,7,7,7,,,,,110.70485300000018,113.62007459999995,113.62007459999995,116.74401940000007,116.74401940000007,['1'],[1.3896217999999863],119.75505930000008,119.75505930000008,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,87.02,scrambled,fps_60/1159606.bmp_pp151_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.0,None,0,8,8,8,,,,,119.75505930000008,122.167461,122.167461,125.27431699999988,125.27431699999988,['1'],[0.5445498000003681],128.28128849999985,128.28128849999985,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,96.61,scrambled,fps_60/713089.bmp_pp91_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,3.5900000000000034,None,0,9,9,9,,,,,128.28128849999985,132.27884700000004,132.27884700000004,135.40247920000002,135.40247920000002,['1'],[0.43913400000019465],138.4097839000001,138.4097839000001,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,106.23,veridical,fps_60/285933.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps60.mp4,3.620000000000005,None,0,10,10,10,,,,,138.4097839000001,142.44193360000008,142.44193360000008,145.54624289999992,145.54624289999992,['1'],[0.6975812000000587],,,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,114.99,veridical,fps_60/1591932.bmp_pp76_L1_V1_veridical_freeview_isoFalse_fps60.mp4,2.759999999999991,None,0,11,11,11,,,,,148.55975990000024,151.73740290000023,151.73740290000023,154.8277490999999,154.8277490999999,None,,157.8306805000002,157.8306805000002,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,123.58,scrambled,fps_60/286001.bmp_pp90_L2_V1_scrambled_freeview_isoFalse_fps60.mp4,2.5900000000000034,None,0,12,12,12,,,,,157.8306805000002,160.85952529999986,160.85952529999986,163.92054340000004,163.92054340000004,['1'],[1.0029488999998648],166.92578679999997,166.92578679999997,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
5,133.47,veridical,fps_60/1159606.bmp_pp151_L1_V1_veridical_freeview_isoFalse_fps60.mp4,3.890000000000001,None,0,13,13,13,,,,,166.92578679999997,171.2561485000001,171.2561485000001,174.31183909999982,174.31183909999982,['1'],[0.7672929000000295],177.31206329999986,177.31206329999986,,subject_17b,5,2023-09-29_17h12.19.734,run_1,2023.1.2,59.9754820229182,
