run,start_time,type,moviestim,jitters,frames,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,welcome_key.started,welcome_key.keys,welcome_key.rt,fix3.started,fix3.stopped,movie.started,text_15.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_15.stopped,key_resp_9.stopped,fix4.started,fix4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,16.939237099999445,16.939237099999445,['equal'],[68.52359149999393],,,,,,,,,,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,10.0,scrambled,fps_60/1591975.bmp_pp86_L2_V1_scrambled_freeview_isoFalse_fps60.mp4,10.0,None,0,0,0,0,,,,,85.4791980000009,95.64393730000302,95.64393730000302,98.74847010000667,98.74847010000667,['2'],[1.2474700000020675],,,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,19.59,scrambled,fps_60/1592804.bmp_pp60_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,3.59,None,0,1,1,1,,,,,101.76234180000029,105.62527760000376,105.62527760000376,108.75055060000159,108.75055060000159,['2'],[0.7452616000082344],111.76256590000412,111.76256590000412,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,28.07,scrambled,fps_60/1159318.bmp_pp93_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.4800000000000004,None,0,2,2,2,,,,,111.76256590000412,114.48693460000504,114.48693460000504,117.63261129999592,117.63261129999592,['2'],[0.430148300001747],,,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,36.17,veridical,fps_60/1159482.bmp_pp97_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.1000000000000014,None,0,3,3,3,,,,,120.64584719999402,122.98092020000331,122.98092020000331,126.09199790000275,126.09199790000275,['1'],[0.3207282999937888],129.09581450000405,129.09581450000405,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,44.9,veridical,fps_60/1591975.bmp_pp86_L2_V1_veridical_freeview_isoFalse_fps60.mp4,2.729999999999997,None,0,4,4,4,,,,,129.09581450000405,132.0711450999952,132.0711450999952,135.20004209999752,135.20004209999752,['1'],[1.662947599994368],138.21244679999654,138.21244679999654,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,53.57,veridical,fps_60/1159777.bmp_pp56_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.6700000000000017,None,0,5,5,5,,,,,138.21244679999654,141.13913349999348,141.13913349999348,144.2668823999993,144.2668823999993,['1'],[0.7458410999970511],147.27922569999646,147.27922569999646,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,64.99,veridical,fps_60/1592804.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps60.mp4,5.419999999999995,None,0,6,6,6,,,,,147.27922569999646,152.98098019999452,152.98098019999452,156.1063279999944,156.1063279999944,['2'],[1.7063938000064809],159.11234360000526,159.11234360000526,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,73.26,scrambled,fps_60/1159777.bmp_pp56_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.2700000000000102,None,0,7,7,7,,,,,159.11234360000526,161.6371868999995,161.6371868999995,164.7656813000067,164.7656813000067,['2'],[1.430180700001074],,,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,82.26,veridical,fps_60/1159318.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps60.mp4,3.0,None,0,8,8,8,,,,,167.77922070000204,171.03228379999928,171.03228379999928,174.17899919999763,174.17899919999763,['2'],[1.9835376999981236],177.17933040000207,177.17933040000207,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,93.48,scrambled,fps_60/1592568.bmp_pp81_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,5.219999999999999,None,0,9,9,9,,,,,177.17933040000207,182.68776820000494,182.68776820000494,185.79522450000513,185.79522450000513,['2'],[0.9176205999974627],188.79559439999866,188.79559439999866,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,104.93,scrambled,fps_60/1159497.bmp_pp91_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,5.450000000000003,None,0,10,10,10,,,,,188.79559439999866,194.5345202000026,194.5345202000026,197.6419145999971,197.6419145999971,['2'],[1.6206754999875557],200.64560629999323,200.64560629999323,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,115.01,veridical,fps_60/1592372.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps60.mp4,4.079999999999998,None,0,11,11,11,,,,,200.64560629999323,205.0221326000028,205.0221326000028,208.12904499999422,208.12904499999422,['1'],[0.8499385000031907],211.12914479999745,211.12914479999745,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,126.17,veridical,fps_60/1592568.bmp_pp81_L1_V1_veridical_freeview_isoFalse_fps60.mp4,5.159999999999997,None,0,12,12,12,,,,,211.12914479999745,216.5758707000059,216.5758707000059,219.68455740000354,219.68455740000354,['2'],[1.3946720999956597],222.69561510000494,222.69561510000494,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,136.27,veridical,fps_60/1593102.bmp_pp80_L3_V1_veridical_freeview_isoFalse_fps60.mp4,4.1000000000000085,None,0,13,13,13,,,,,222.69561510000494,227.0894272000005,227.0894272000005,230.19703530000697,230.19703530000697,['1'],[0.04874749999726191],,,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,147.81,veridical,fps_60/1159497.bmp_pp91_L3_V1_veridical_freeview_isoFalse_fps60.mp4,5.539999999999992,None,0,14,14,14,,,,,233.21218149999913,239.02590910000436,239.02590910000436,242.1335931000067,242.1335931000067,['1'],[1.495455900003435],245.14587730000494,245.14587730000494,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,156.79,veridical,fps_60/1592727.bmp_pp69_L3_V1_veridical_freeview_isoFalse_fps60.mp4,2.9799999999999898,None,0,15,15,15,,,,,245.14587730000494,248.36450949999562,248.36450949999562,251.4937357000017,251.4937357000017,['1'],[0.8185033000045223],254.49555760000658,254.49555760000658,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,164.95,scrambled,fps_60/1159482.bmp_pp97_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.1599999999999966,None,0,16,16,16,,,,,254.49555760000658,256.9205910000019,256.9205910000019,260.0326361000043,260.0326361000043,['1'],[0.7298144999949727],,,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,173.04,scrambled,fps_60/1592372.bmp_pp89_L1_V1_scrambled_freeview_isoFalse_fps60.mp4,2.0900000000000034,None,0,17,17,17,,,,,263.04560800000036,265.3931666999997,265.3931666999997,268.52177200000733,268.52177200000733,['2'],[2.2572788999968907],271.52907449999475,271.52907449999475,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,181.66,scrambled,fps_60/1593102.bmp_pp80_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.6200000000000045,None,0,18,18,18,,,,,271.52907449999475,274.40110760000243,274.40110760000243,277.52991389999806,277.52991389999806,['1'],[1.1827044000092428],280.52885570000217,280.52885570000217,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
4,190.0,scrambled,fps_60/1592727.bmp_pp69_L3_V1_scrambled_freeview_isoFalse_fps60.mp4,2.3400000000000034,None,0,19,19,19,,,,,280.52885570000217,283.1334418000042,283.1334418000042,286.26213790000475,286.26213790000475,['1'],[2.016763899999205],289.2619252000004,289.2619252000004,,,subject_20b,4,2023-11-02_17h53.07.262,run_1,2023.1.2,59.98911797668766,
,,,,,,,,,,,,,,,,,,,,,,,289.2619252000004,299.2620954000013,,,,,,,
